epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1681.06,0.88313,0.57443,1.05892,0.9859,0.98265,0.99182,0.74892,0.93476,0.42293,1.11145,0.000169908,0.000169908,0.000169908
91,1700.49,0.81973,0.44665,1.04028,0.99415,0.97541,0.99136,0.73629,0.95929,0.43447,1.1209,0.000155761,0.000155761,0.000155761
92,1719.15,0.80867,0.43352,1.03565,0.99152,0.97917,0.98862,0.73792,0.96331,0.4229,1.12104,0.000141614,0.000141614,0.000141614
93,1737.81,0.81087,0.42638,1.0372,0.99156,0.98034,0.99174,0.7358,0.9594,0.42133,1.11434,0.000127467,0.000127467,0.000127467
94,1756.57,0.79419,0.41706,1.02721,0.99666,0.97917,0.99161,0.73873,0.95169,0.4143,1.11634,0.00011332,0.00011332,0.00011332
95,1775.28,0.79487,0.40538,1.0176,0.99237,0.97917,0.99174,0.73413,0.96282,0.41766,1.11859,9.91726e-05,9.91726e-05,9.91726e-05
96,1793.98,0.78919,0.40916,1.02494,0.99035,0.98028,0.99152,0.73545,0.96424,0.42205,1.11712,8.50255e-05,8.50255e-05,8.50255e-05
97,1812.7,0.76235,0.39695,1.01416,0.99355,0.98083,0.99135,0.73454,0.97558,0.42218,1.12655,7.08784e-05,7.08784e-05,7.08784e-05
98,1831.27,0.77161,0.3976,1.02435,0.99341,0.98243,0.99152,0.7344,0.96652,0.41833,1.11995,5.67313e-05,5.67313e-05,5.67313e-05
99,1850.04,0.76792,0.39978,1.01362,0.98782,0.98264,0.99124,0.73878,0.95933,0.4205,1.11772,4.25842e-05,4.25842e-05,4.25842e-05
100,1868.67,0.77435,0.40118,1.01579,0.98805,0.98264,0.99105,0.7419,0.96046,0.42323,1.11707,2.84371e-05,2.84371e-05,2.84371e-05
