epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,14246.7,0.76063,0.37996,1.0247,0.96891,0.9448,0.97591,0.88105,0.77817,0.31402,0.99296,0.001783,0.001783,0.001783
85,14414,0.75643,0.37278,1.01941,0.97767,0.93678,0.97549,0.8797,0.77788,0.31322,0.99193,0.001684,0.001684,0.001684
86,14581.4,0.74725,0.36494,1.01677,0.97006,0.94173,0.974,0.87998,0.7781,0.31246,0.99177,0.001585,0.001585,0.001585
87,14748.7,0.74629,0.37234,1.01785,0.97171,0.94442,0.97416,0.88016,0.77902,0.31203,0.99237,0.001486,0.001486,0.001486
88,14916.7,0.74509,0.37091,1.01695,0.9714,0.94397,0.97414,0.88003,0.77934,0.31231,0.99234,0.001387,0.001387,0.001387
89,15084.2,0.73867,0.36065,1.0151,0.98029,0.93997,0.97323,0.88004,0.77943,0.31255,0.99306,0.001288,0.001288,0.001288
90,15252,0.72903,0.35779,1.01224,0.97767,0.93956,0.97287,0.881,0.7794,0.31231,0.99362,0.001189,0.001189,0.001189
91,15422.6,0.74122,0.30927,0.99071,0.97851,0.93938,0.97401,0.88014,0.77979,0.31217,0.99406,0.00109,0.00109,0.00109
92,15592,0.73287,0.30373,0.98438,0.9746,0.94271,0.97514,0.87997,0.78001,0.31076,0.99365,0.000991,0.000991,0.000991
93,15760.8,0.73165,0.30172,0.98241,0.97609,0.94203,0.97512,0.87982,0.77952,0.31091,0.99326,0.000892,0.000892,0.000892
94,15931.3,0.72576,0.29687,0.97839,0.97589,0.93982,0.97463,0.8803,0.77884,0.31025,0.99259,0.000793,0.000793,0.000793
95,16101.2,0.72341,0.29354,0.97929,0.9695,0.9453,0.97462,0.88074,0.77933,0.31055,0.99321,0.000694,0.000694,0.000694
96,16271.6,0.71755,0.29221,0.97958,0.97372,0.94397,0.97524,0.8812,0.77908,0.3098,0.99325,0.000595,0.000595,0.000595
97,16441.8,0.71088,0.28568,0.97527,0.97085,0.94361,0.97457,0.88203,0.7782,0.30953,0.99303,0.000496,0.000496,0.000496
98,16612,0.71029,0.28266,0.97495,0.97482,0.93918,0.97477,0.88241,0.77796,0.30917,0.99307,0.000397,0.000397,0.000397
99,16782.1,0.70504,0.2809,0.97374,0.97775,0.93658,0.97461,0.88232,0.77805,0.30833,0.99372,0.000298,0.000298,0.000298
100,16952.6,0.70392,0.2799,0.97345,0.9788,0.93726,0.97568,0.88252,0.77809,0.30778,0.99416,0.000199,0.000199,0.000199
